"year","FIPS","grade","subject","female","lep","sped","age","white","black","hispanic","asian","amind","unclass","freelunch","redlunch","misslunch","books_125","books_26p","books_multmiss","lang_nr","lang_st","lang_mt","lang_om","score_000000","score_100000","score_010000","score_001000","score_000100","score_000010","score_000001","score_110000","score_101000","score_100100","score_100010","score_100001","score_011000","score_010100","score_010010","score_010001","score_001100","score_001010","score_001001","score_000110","score_000101","score_000011","score_111000","score_110100","score_110010","score_110001","score_101100","score_101010","score_101001","score_100110","score_100101","score_100011","score_011100","score_011010","score_011001","score_010110","score_010101","score_010011","score_001110","score_001101","score_001011","score_000111","score_111100","score_111010","score_111001","score_110110","score_110101","score_110011","score_101110","score_101101","score_101011","score_100111","score_011110","score_011101","score_011011","score_010111","score_001111","score_111110","score_111101","score_111011","score_110111","score_101111","score_011111","score_111111","rank"
1990,"Montana",8,"math",0.4929154,0.0016826,0.0389022,14.10601,0.8710657,0.0028446,0.032722,0.0129071,0.0798899,0.0005708,,,,0.01558,0.9627312,0.0216888,0.6912038,0.2668591,0.0402368,0.0011276,280.4714,272.8077,,278.5422,277.6741,281.861,278.6838,,272.0557,270.0507,274.0399,272.4449,,,,,276.1203,279.9348,277.6917,278.8313,275.9941,280.0338,,,,,269.5354,273.2761,271.8153,271.0962,269.7727,273.669,,,,,,,277.2955,275.2667,279.0344,277.146,,,,,,,270.575,269.3539,273.0268,270.8112,,,,,276.4195,,,,,270.3862,,,21
1990,"Nebraska",8,"math",0.4839468,0.0032279,0.0556498,14.05158,0.8815376,0.0452946,0.0462213,0.0123305,0.0146161,0,,,,0.0165274,0.9540374,0.0294352,0.7372416,0.2297731,0.0291977,0.0033014,275.9217,268.6782,,274.0492,273.771,276.6375,273.9362,,268.0798,266.6717,269.2776,268.3513,,,,,272.2336,274.7632,273.1246,274.402,271.8679,274.55,,,,,266.2542,268.6776,267.8936,267.2128,266.4096,268.9249,,,,,,,272.867,271.2669,273.7387,272.4359,,,,,,,266.7931,266.1051,268.4643,266.93,,,,,271.8353,,,,,266.623,,,22
1990,"New Hampshire",8,"math",0.4656576,0.0011079,0.0780485,14.11442,0.9410017,0.0051458,0.0243539,0.0109953,0.0164437,0.0020597,,,,0.0188921,0.9554575,0.0256504,0.7051958,0.2523395,0.0366926,0.0040283,273.2745,264.0793,,271.3242,271.9886,274.7682,271.5029,,263.5768,262.9352,265.4341,263.8714,,,,,270.3376,272.8217,270.5294,273.148,270.282,272.9444,,,,,262.5627,264.9129,263.4458,263.9926,262.7714,265.2109,,,,,,,271.5141,269.5053,271.9623,271.4255,,,,,,,263.6133,262.4612,264.7666,263.8186,,,,,270.6497,,,,,263.5014,,,23
1990,"New Jersey",8,"math",0.4912919,0.0055986,0.0470093,13.92247,0.6638049,0.1510569,0.1273659,0.0461407,0.009664,0.0019675,,,,0.0359745,0.9332871,0.0307384,0.6220226,0.2503347,0.1246099,0.0030328,269.4631,268.0202,,267.6778,266.9789,268.581,268.9983,,266.7604,265.6573,267.1571,267.8703,,,,,265.5355,266.7819,267.5352,266.4535,266.6068,268.0656,,,,,264.7033,265.937,266.6527,265.1348,265.5871,267.0135,,,,,,,264.9791,265.4641,266.6284,266.0335,,,,,,,264.1907,264.6664,265.8355,265.0634,,,,,264.8892,,,,,264.1531,,,24
1990,"New Mexico",8,"math",0.4992885,0.0065474,0.0277584,14.07432,0.4011427,0.0222895,0.4482637,0.0140607,0.1101703,0.0040731,,,,0.058771,0.8791133,0.0621158,0.3855324,0.4437265,0.160513,0.0052244,255.9024,261.4192,,254.1519,252.6749,256.8997,256.674,,257.7147,257.9395,262.4962,260.5977,,,,,251.3009,255.1501,254.6684,253.5654,253.5371,257.8547,,,,,254.9946,258.8351,257.3015,258.9056,257.2147,261.6908,,,,,,,252.2033,251.9643,255.8537,254.5856,,,,,,,255.9694,254.6149,258.4341,258.1908,,,,,253.013,,,,,255.5993,,,25
1990,"New York",8,"math",0.5090165,0.01724,0.0424666,13.92883,0.5990562,0.1729689,0.1674185,0.0400846,0.0138658,0.0066059,,,,0.0428378,0.91592,0.0412422,0.5685418,0.2830587,0.1431188,0.004789,260.6554,261.2717,,259.2978,257.9958,259.8519,260.6461,,260.0757,258.6826,260.4892,261.1455,,,,,256.9383,258.4828,259.3683,257.5367,258.0704,259.834,,,,,257.7908,259.3301,259.9788,258.2307,258.6306,260.3797,,,,,,,256.4542,257.0941,258.5788,257.5971,,,,,,,257.3478,257.7611,259.2498,258.1857,,,,,256.6194,,,,,257.3255,,,26
1990,"North Carolina",8,"math",0.4908648,0.0023928,0.059645,14.08128,0.6202333,0.2980784,0.0461356,0.0084606,0.0267417,0.0003503,,,,0.0548179,0.9020403,0.0431418,0.7510064,0.2167872,0.0286179,0.0035885,249.8449,251.6738,,247.9418,247.8485,250.9284,247.8218,,251.0081,249.6296,252.5283,251.2388,,,,,246.276,249.0261,247.0065,248.7417,245.9034,248.8064,,,,,249.1576,251.857,250.7552,250.3611,249.274,252.0538,,,,,,,247.1792,245.2926,247.9867,246.7412,,,,,,,249.8856,248.9489,251.5629,249.9745,,,,,246.1311,,,,,249.6455,,,27
1990,"North Dakota",8,"math",0.4851446,0.0078689,0.0490297,14.10221,0.9064801,0.0054244,0.0278929,0.0136806,0.0459282,0.0005937,,,,0.0158213,0.966908,0.0172707,0.7188885,0.2531894,0.0251674,0.0025673,281.2328,272.7729,,279.5309,278.8265,282.5753,279.2284,,272.3422,270.4787,273.9735,272.4164,,,,,277.4526,280.877,278.5634,279.93,276.9133,280.5041,,,,,270.2124,273.526,272.1197,271.4783,270.192,273.5982,,,,,,,278.5743,276.4485,279.8296,277.9899,,,,,,,271.205,270.0317,273.2835,271.1773,,,,,277.5261,,,,,271.0095,,,28
1990,"Ohio",8,"math",0.4734473,0.0003666,0.0265654,14.10278,0.8248745,0.1149227,0.0320612,0.013802,0.0134752,0.0008644,,,,0.0319318,0.9301155,0.0379527,0.7247943,0.2336156,0.0340281,0.006545,263.7353,258.4918,,261.7578,260.4618,265.0849,261.9649,,257.9003,255.3733,259.6794,258.2874,,,,,258.8901,263.1099,261.0064,261.613,258.7677,263.2392,,,,,255.0063,259.0743,257.8081,256.4036,255.229,259.4451,,,,,,,260.059,258.0914,262.274,259.8895,,,,,,,256.03,254.9496,258.9518,256.2372,,,,,259.2141,,,,,255.9509,,,29
1990,"Oklahoma",8,"math",0.499886,0.0025534,0.0263215,14.11644,0.7363481,0.1059531,0.0517627,0.0175657,0.0880011,0.0003693,,,,0.0320845,0.935425,0.0324905,0.7798726,0.1851474,0.0301748,0.0043401,262.7632,259.3901,,260.8659,259.4802,264.2818,260.6962,,258.4717,256.0816,260.7295,259.0381,,,,,257.9798,262.3888,259.9213,260.756,257.5047,262.11,,,,,255.45,259.8001,258.3267,257.2333,255.8091,260.3158,,,,,,,259.2777,256.985,261.325,258.7307,,,,,,,256.5956,255.344,259.5922,256.9146,,,,,258.2121,,,,,256.443,,,30
