FIPS,year,profmean,profmean_stnd,female,sped,age,hispanic,asian,amind,free_lunch,red_lunch,miss_lunch,combo_pct_free_lunch,combo_pct_red_lunch,combo_pct_miss_lunch,admin_survey,wtdn,white,black,paid_lunch,lang_nr,lang_st,lang_mt,lang_om,score_oldway,score_m1,score_m2,score_m3,score_m4,score_m5,score_m6,score_m7,score_m8,score_m9,score_m10,score_m11,score_m12,score_m13,score_m14,score_m15,score_m16,score_m17,score_m18,score_m19,score_m20,score_m21,score_m22,score_m23,score_m24,score_m25,score_m26,score_m27,score_m28,score_m29,score_m30,score_m31,score_m32,score_m33,score_m34,score_m35,score_m36,score_m37,score_m38,score_m39,score_m40,score_m41,score_m42,score_m43,score_m44,score_m45,score_m46,score_m47,score_m48,score_m49,score_m50,score_m51,score_m52,score_m53,score_m54,score_m55,score_m56,score_m57,score_m58,score_m59,score_m60,score_m61,score_m62,score_m63,score_m64,score_m65,score_m66,score_m67,score_m68,score_m69,score_m70,score_m71,score_m72,score_m73,score_m74,score_m75,score_m76,score_m77,score_m78,score_m79,score_m80,score_m81,score_m82,score_m83,score_m84,score_m85,score_m86,score_m87,score_m88,score_m89,score_m90,score_m91,score_m92,score_m93,score_m94,score_m95,score_m96
"Alaska",1996,223.833,.0481107,.4977454,.1012374,10.04301,.1143054,.0438001,.2314253,.19627,.0502868,.4324788,.19627,.0502868,.4324788,1,4.67,.5728813,.0375879,.3030333,.5618157,.3688508,.0597935,.0095401,,223.8335,223.7667,223.7368,224.41,224.9273,224.5119,224.0544,223.5916,224.0109,224.6611,224.2994,223.668,224.1104,224.7254,224.2628,223.9055,225.4258,225.1069,224.4687,225.3369,225.149,224.8022,223.845,224.4282,224.0725,223.5719,224.8427,224.5292,223.941,224.9708,224.5598,224.2254,225.0571,224.6808,224.2296,225.0053,224.8886,224.4783,225.8604,225.4881,225.2115,225.6149,224.6269,224.323,223.8519,224.6895,224.3967,224.0696,225.1494,224.7681,224.483,224.8871,225.3775,225.1624,224.8214,225.2065,225.9602,224.8927,224.6195,224.3453,224.6695,225.0919,225.5015,224.896,223.7368,223.5916,224.1104,224.7254,224.2628,223.9055,223.845,224.4282,224.0725,223.5719,225.0571,224.6808,224.2296,225.0053,224.8886,224.4783,224.6269,224.323,223.8519,224.6895,224.3967,224.0696,225.3775,225.1624,224.8214,225.2065,224.8927,224.6195,224.3453,224.6695,225.5015,224.896
"Alaska",2003,232.992,-.0350888,.4811333,.1561877,10.05341,.0471763,.0741901,.2580872,.2625329,.0674962,.0612541,.2625329,.0674962,.0612541,,3.44,.5585697,.0451771,.5853094,,,,,,232.9917,231.0774,230.7532,234.8502,233.9793,233.4469,232.9917,230.1016,232.7383,231.8329,231.4173,231.0774,232.1131,231.7215,231.1172,230.7532,235.6988,235.3279,234.8502,234.2385,233.9793,233.4469,231.5654,230.8751,230.411,230.1016,233.2834,233.0514,232.7383,232.0211,231.8329,231.4173,232.9859,232.5359,232.1131,231.9045,231.7215,231.1172,235.9864,235.6988,235.3279,234.2385,232.1553,231.8699,231.5654,231.0346,230.8751,230.411,233.4664,233.2834,233.0514,232.0211,233.216,232.9859,232.5359,231.9045,235.9864,232.3212,232.1553,231.8699,231.0346,233.4664,233.216,232.3212,230.7532,230.1016,232.1131,231.7215,231.1172,230.7532,231.5654,230.8751,230.411,230.1016,232.9859,232.5359,232.1131,231.9045,231.7215,231.1172,232.1553,231.8699,231.5654,231.0346,230.8751,230.411,233.216,232.9859,232.5359,231.9045,232.3212,232.1553,231.8699,231.0346,233.216,232.3212
"Alaska",2005,235.511,-.058173,.4959617,.1435712,10.0396,.0392142,.0754866,.26279,.3203948,.0658177,.0056029,.3064258,.070483,.0259268,,3.33,.5566725,.0400004,.6040094,,,,,,235.5107,233.2527,233.784,237.6078,236.1263,235.7712,235.5107,232.7597,235.2218,233.6332,233.4176,233.2527,235.2513,234.3992,233.9958,233.784,238.0886,237.8882,237.6078,236.2715,236.1263,235.7712,234.4505,233.1503,232.9047,232.7597,235.3738,235.3601,235.2218,233.7239,233.6332,233.4176,235.7728,235.5145,235.2513,234.5037,234.3992,233.9958,238.2586,238.0886,237.8882,236.2715,234.6456,234.5909,234.4505,233.224,233.1503,232.9047,235.4594,235.3738,235.3601,233.7239,235.9169,235.7728,235.5145,234.5037,238.2586,234.725,234.6456,234.5909,233.224,235.4594,235.9169,234.725,233.9213,232.8508,235.3775,234.5316,234.1325,233.9213,234.5381,233.2346,232.9943,232.8508,235.8949,235.6398,235.3775,234.6359,234.5316,234.1325,234.727,234.6771,234.5381,233.3076,233.2346,232.9943,236.0386,235.8949,235.6398,234.6359,234.8058,234.727,234.6771,233.3076,236.0386,234.8058
"Alaska",2007,237.274,-.0647696,.4857325,.1504834,10.06167,.0350175,.0703307,.2491729,.3545811,.0830052,.0067826,.3385255,.0835295,.0247629,,3.06,.5508254,.050684,.5556311,,,,,,237.2739,234.9943,236.6176,238.474,238.1187,237.7941,237.2739,235.2873,236.4236,235.6039,235.3808,234.9943,237.4335,237.399,236.9814,236.6176,239.2198,239.0136,238.474,238.4324,238.1187,237.7941,236.4823,235.835,235.5735,235.2873,236.8538,236.785,236.4236,235.8306,235.6039,235.3808,238.1533,237.8423,237.4335,237.5888,237.399,236.9814,239.5591,239.2198,239.0136,238.4324,236.883,236.7644,236.4823,235.9887,235.835,235.5735,237.0755,236.8538,236.785,235.8306,238.381,238.1533,237.8423,237.5888,239.5591,237.0422,236.883,236.7644,235.9887,237.0755,238.381,237.0422,236.53,235.2253,237.3534,237.3147,236.8987,236.53,236.4254,235.7771,235.5166,235.2253,238.076,237.7675,237.3534,237.5074,237.3147,236.8987,236.8295,236.7127,236.4254,235.9337,235.7771,235.5166,238.3071,238.076,237.7675,237.5074,236.9917,236.8295,236.7127,235.9337,238.3071,236.9917
"Alaska",2009,237.212,-.0679012,.4902184,.1621751,10.03741,.0732384,.0814599,.2379051,.3687531,.0758095,.0091566,.320485,.0750984,.0628651,,3.62,.4970167,.0364891,.5455184,,,,,,237.2123,235.1753,236.244,237.1556,238.2469,237.5386,237.2123,235.106,235.4052,236.011,235.4288,235.1753,236.2922,237.2073,236.486,236.244,238.1472,237.4885,237.1556,238.4126,238.2469,237.5386,235.3065,235.8904,235.305,235.106,236.1822,235.6504,235.4052,236.1374,236.011,235.4288,237.232,236.5514,236.2922,237.3169,237.2073,236.486,238.3203,238.1472,237.4885,238.4126,236.0436,235.5041,235.3065,235.9825,235.8904,235.305,236.307,236.1822,235.6504,236.1374,237.3554,237.232,236.5514,237.3169,238.3203,236.1375,236.0436,235.5041,235.9825,236.307,237.3554,236.1375,235.6598,234.7043,235.758,236.6448,235.9246,235.6598,234.9337,235.5165,234.9286,234.7043,236.7163,236.0428,235.758,236.7673,236.6448,235.9246,235.6946,235.1564,234.9337,235.623,235.5165,234.9286,236.8551,236.7163,236.0428,236.7673,235.8032,235.6946,235.1564,235.623,236.8551,235.8032
"Alaska",2011,236.360,-.1348005,.4830795,.1409364,10.03379,.0614273,.0825088,.2347887,.4032026,.058061,.0089715,.2926763,.0543258,.1336906,,3.36,.5029242,.0384687,.5297649,,,,,,236.3596,233.897,234.8469,236.8127,236.9168,236.707,236.3596,233.6285,234.7222,234.2525,234.16,233.897,235.2619,235.4017,235.1161,234.8469,237.3218,237.1706,236.8127,237.1267,236.9168,236.707,234.3436,233.9793,233.8436,233.6285,234.974,234.9697,234.7222,234.4098,234.2525,234.16,235.782,235.5596,235.2619,235.5431,235.4017,235.1161,237.5459,237.3218,237.1706,237.1267,234.6057,234.556,234.3436,234.097,233.9793,233.8436,235.1281,234.974,234.9697,234.4098,235.948,235.782,235.5596,235.5431,237.5459,234.7271,234.6057,234.556,234.097,235.1281,235.948,234.7271,233.2911,232.5595,233.839,233.9037,233.6199,233.2911,233.3508,232.9844,232.8409,232.5595,234.4084,234.2036,233.839,234.0789,233.9037,233.6199,233.6763,233.629,233.3508,233.1396,232.9844,232.8409,234.6147,234.4084,234.2036,234.0789,233.836,233.6763,233.629,233.1396,234.6147,233.836
"Alaska",2013,236.122,-.1794851,.4865242,.1487555,10.00807,.0687551,.1059796,.2369081,.5104415,.0044157,.0021808,.3554059,.0044157,.1648743,,3.41,.4674079,.0356104,.4829619,,,,,,236.122,233.5069,236.0254,236.8404,236.6289,236.3475,236.122,234.152,234.4985,233.8278,233.6874,233.5069,236.4769,236.4847,236.1709,236.0254,237.288,237.0757,236.8404,236.7562,236.6289,236.3475,234.9364,234.4038,234.2545,234.152,234.699,234.6633,234.4985,233.9318,233.8278,233.6874,236.9015,236.6435,236.4769,236.5551,236.4847,236.1709,237.4276,237.288,237.0757,236.7562,235.0953,235.0368,234.9364,234.4569,234.4038,234.2545,234.8,234.699,234.6633,233.9318,236.9887,236.9015,236.6435,236.5551,237.4276,235.1513,235.0953,235.0368,234.4569,234.8,236.9887,235.1513,233.6863,232.5512,234.3385,234.2322,233.9186,233.6863,233.4495,232.9146,232.7508,232.5512,234.8369,234.6028,234.3385,234.3517,234.2322,233.9186,233.7039,233.6461,233.4495,233.0225,232.9146,232.7508,234.9827,234.8369,234.6028,234.3517,233.8158,233.7039,233.6461,233.0225,234.9827,233.8158
"Alaska",2015,236.328,-.1241721,.4920733,.1393532,9.985378,.0740442,.092719,.2406616,.5017303,.0025502,.0123477,.4734044,.0104223,.0123477,,4.47,.4555984,.0359859,.4829684,,,,,,236.3284,233.8648,235.6019,237.1068,236.4668,236.4742,236.3284,234.0865,234.9853,233.8066,233.9573,233.8648,236.1456,235.7534,235.7111,235.6019,237.1992,237.2611,237.1068,236.5607,236.4668,236.4742,235.0074,234.0154,234.1415,234.0865,234.8081,235.0627,234.9853,233.8713,233.8066,233.9573,236.2641,236.2759,236.1456,235.8136,235.7534,235.7111,237.3044,237.1992,237.2611,236.5607,234.8391,235.0602,235.0074,234.0514,234.0154,234.1415,234.8699,234.8081,235.0627,233.8713,236.3416,236.2641,236.2759,235.8136,237.3044,234.8782,234.8391,235.0602,234.0514,234.8699,236.3416,234.8782,235.4765,234.0067,236.0314,235.6324,235.5866,235.4765,234.932,233.9417,234.0635,234.0067,236.1536,236.163,236.0314,235.6929,235.6324,235.5866,234.7692,234.9864,234.932,233.9785,233.9417,234.0635,236.2317,236.1536,236.163,235.6929,234.8091,234.7692,234.9864,233.9785,236.2317,234.8091
"Alaska",2017,230.456,-.287847,.4791922,.1391893,9.97261,.0699117,.0860304,.2428308,.4875793,.0055665,.0035024,.4798632,.0127948,.023559,,4.42,.4570309,.0295087,.4988093,0,0,0,0,,230.4563,227.6027,229.6193,231.0029,230.5914,230.4478,230.4563,227.911,228.6631,227.5309,227.5493,227.6027,230.028,229.7717,229.6278,229.6193,231.1041,230.998,231.0029,230.5771,230.5914,230.4478,228.7777,227.8214,227.8499,227.911,228.4794,228.5984,228.6631,227.499,227.5309,227.5493,230.1548,230.0476,230.028,229.7711,229.7717,229.6278,231.0936,231.1041,230.998,230.5771,228.5973,228.715,228.7777,227.7876,227.8214,227.8499,228.4454,228.4794,228.5984,227.499,230.1616,230.1548,230.0476,229.7711,231.0936,228.5654,228.5973,228.715,227.7876,228.4454,230.1616,228.5654,229.9745,228.1494,230.3535,230.114,229.9758,229.9745,229.0027,228.0424,228.079,228.1494,230.4692,230.3645,230.3535,230.1095,230.114,229.9758,228.807,228.9308,229.0027,228.0036,228.0424,228.079,230.4711,230.4692,230.3645,230.1095,228.77,228.807,228.9308,228.0036,230.4711,228.77
"Alaska",2019,232.307,,,,,,,,,,,,,,,,,,,,,,,,232.3075,229.4539,231.4705,232.8541,232.4426,232.299,232.3075,229.7622,230.5143,229.3821,229.4005,229.4539,231.8792,231.6229,231.479,231.4705,232.9553,232.8492,232.8541,232.4283,232.4426,232.299,230.6289,229.6726,229.7011,229.7622,230.3306,230.4496,230.5143,229.3502,229.3821,229.4005,232.006,231.8988,231.8792,231.6223,231.6229,231.479,232.9448,232.9553,232.8492,232.4283,230.4485,230.5661,230.6289,229.6388,229.6726,229.7011,230.2966,230.3306,230.4496,229.3502,232.0128,232.006,231.8988,231.6223,232.9448,230.4166,230.4485,230.5661,229.6388,230.2966,232.0128,230.4166,231.8257,230.0006,232.2047,231.9652,231.827,231.8257,230.8539,229.8936,229.9302,230.0006,232.3204,232.2157,232.2047,231.9607,231.9652,231.827,230.6582,230.782,230.8539,229.8548,229.8936,229.9302,232.3223,232.3204,232.2157,231.9607,230.6212,230.6582,230.782,229.8548,232.3223,230.6212
"Arizona",1996,217.761,-.1562016,.4796366,.032652,9.984593,.2778741,.0213945,.1024674,.3071063,.0597387,.1337531,.3071063,.0597387,.1337531,1,29.63,.5526184,.0429587,.4397144,.4658054,.4249181,.1029583,.0063182,,217.7605,219.0303,218.4575,219.0356,217.3267,217.9779,218.3761,218.9423,219.1168,218.5643,219.2291,218.7382,219.2024,218.0436,218.5972,218.6325,218.5558,219.2664,219.0873,217.5062,217.9988,218.6895,219.0258,218.5123,219.109,218.7299,218.6602,219.3103,218.846,218.7208,218.3107,218.9789,218.7567,219.3703,219.1127,218.1433,218.282,218.8454,218.7553,218.6751,219.3971,218.2483,218.6009,219.1915,218.8286,218.6292,218.3284,218.9264,218.8152,218.4232,219.0802,218.4936,218.8825,218.734,219.3371,218.4286,218.9296,218.7198,218.4292,219.0235,218.4627,218.6041,218.8944,218.5653,218.4575,218.9423,219.2024,218.0436,218.5972,218.6325,219.0258,218.5123,219.109,218.7299,218.7567,219.3703,219.1127,218.1433,218.282,218.8454,218.6009,219.1915,218.8286,218.6292,218.3284,218.9264,218.8825,218.734,219.3371,218.4286,218.7198,218.4292,219.0235,218.4627,218.8944,218.5653
