FIPS,year,profmean,pct,sepct,semean,diff,profmean_stnd,female,lep,sped,age,white,black,hispanic,asian,amind,unclass,freelunch,redlunch,misslunch,books_125,books_26p,books_multmiss,score_m1,score_m2,score_m3,score_m4,score_m5,score_m6,score_m7,score_m8,score_m9,score_m10,score_m11,score_m12,score_m13,score_m14,score_m15,score_m16,score_m17,score_m18,score_m19,score_m20,score_m21,score_m22,score_m23,score_m24,score_m25,score_m26,score_m27,score_m28,score_m29,score_m30,score_m31,score_m32,score_m33,score_m34,score_m35,score_m36,score_m37,score_m38,score_m39,score_m40,score_m41,score_m42,score_m43,score_m44,score_m45,score_m46,score_m47,score_m48,score_m49,score_m50,score_m51,score_m52,score_m53,score_m54,score_m55,score_m56,score_m57,score_m58,score_m59,score_m60,score_m61,score_m62,score_m63,score_m64
"Arizona",2000,218.767,0.001,0.00126,10.14898,7.55e-10,-.1941353,.4678463,.1034474,.0503591,9.977241,.5227262,.0480594,.3119389,.0294231,.0872872,.0005652,.3238149,.0730581,.067667,.0924717,.8190651,.0884631,218.7666,219.2668,218.771,219.8084,218.7905,219.0306,218.9462,218.9403,219.1899,219.2751,219.5248,218.8627,219.4275,218.7926,218.9522,218.6771,219.7778,220.0851,219.5854,218.9745,219.0339,219.274,218.897,218.9707,219.1575,218.6005,219.2062,219.4432,218.8334,219.4469,218.9177,219.138,219.4126,219.6375,219.136,218.901,218.7663,218.9083,219.98,219.6239,219.9098,219.2635,218.9312,219.1132,218.5923,219.1014,218.6694,218.8287,219.3767,218.8894,219.1031,219.0991,219.5464,219.1874,219.3789,218.9069,219.858,219.0637,218.6599,218.819,218.8058,219.0693,219.341,218.7978
"Arizona",2003,228.911,0.001,0.00060,9.30391,-3.09e-08,-.1840474,.5003567,.1786385,.0913795,9.998075,.4963647,.0407864,.3779008,.0196271,.0634341,.0018868,.3930127,.0769232,.0533086,.3673945,.6261645,.006441,228.9114,230.4278,229.933,230.8067,228.4555,228.9299,229.5858,230.4038,230.5738,229.9857,230.4838,230.2487,231.0402,229.4873,229.9267,230.0863,230.274,230.8386,230.8385,228.4966,229.1769,229.6583,230.5296,229.9922,230.4526,230.2538,230.1338,230.6268,230.4233,230.0457,229.8325,230.3132,230.5435,231.0616,230.9224,229.5002,229.6982,230.1254,230.3333,230.3576,230.9074,229.2556,230.1178,230.5778,230.4041,230.0368,229.8631,230.3079,230.1929,230.004,230.4843,229.8969,230.5788,230.4795,230.9728,229.7381,230.441,230.1635,230.0094,230.4574,229.9103,230.0674,230.5311,230.0575
"Arizona",2005,229.801,0.001,0.00072,9.90608,-2.62e-08,-.2669351,.4843574,.1882731,.090506,9.988217,.4548285,.0500556,.4090568,.0268855,.0570468,.0021268,.3910091,.0814051,.1437504,.3996647,.5973533,.0029819,229.8007,231.8798,230.9582,231.8957,229.2343,229.6556,230.8026,231.7337,232.0514,231.3413,231.7993,231.8191,232.1832,230.409,230.8602,231.2686,231.2471,231.7618,232.0988,229.1671,230.2797,230.7103,231.9024,231.2387,231.7018,231.6843,231.5162,231.9707,231.9912,231.3152,231.2981,231.746,231.5789,232.1099,232.1474,230.3706,230.7774,231.2193,231.1945,231.5055,232.0036,230.2474,231.4054,231.8702,231.8551,231.2374,231.2021,231.6572,231.4898,231.4715,231.9175,231.2758,231.5587,231.6006,232.1077,230.7662,231.4768,231.4046,231.3696,231.8277,231.2033,231.4489,231.5989,231.3712
"Arizona",2007,231.937,0.001,0.00063,9.73387,3.43e-08,-.2578396,.4862289,.1477017,.092749,9.983369,.4320602,.0524272,.4428705,.0258625,.0459108,.0008688,.4249391,.0950345,.0340469,.4204009,.575994,.0036052,231.9369,234.4749,233.3511,232.9328,231.4957,231.8392,232.7568,234.3898,233.6827,234.0694,234.4362,234.2704,233.8645,232.9034,233.2601,233.5387,232.4602,232.8397,233.127,231.4542,232.3683,232.7159,233.7347,234.0176,234.3715,234.2228,233.3795,233.6542,233.5382,234.0644,233.8919,234.2408,233.3984,233.7806,233.7555,232.8654,233.1568,233.4964,232.4251,232.7284,233.0852,232.3642,233.4456,233.718,233.6096,234.0202,233.8722,234.2098,233.3762,233.2551,233.5182,233.8915,233.3656,233.3666,233.7148,233.1456,232.7253,233.4464,233.3376,233.5987,233.8771,233.2565,233.3574,233.3412
"Arizona",2009,229.991,0.001,0.00078,10.24022,-5.08e-08,-.3285705,.4900883,.1462443,.1224435,9.987347,.403688,.0574396,.4488435,.0320667,.0579621,0,.4381452,.101085,.0155358,.4202324,.5747761,.0049915,229.9911,232.8278,231.1116,231.0158,230.1407,229.9223,231.0989,232.4593,232.0462,232.9949,232.8072,232.699,231.6689,231.2044,231.0443,231.4236,231.1063,230.9525,231.3443,230.0832,231.3047,231.1006,231.8297,232.642,232.4651,232.3361,232.2911,232.0352,231.9392,232.9726,232.8867,232.6918,231.7292,231.6114,231.5808,231.1604,231.5944,231.4205,231.0544,231.524,231.3453,231.2925,232.0745,231.8369,231.7159,232.6388,232.5377,232.352,232.2708,232.2034,231.9415,232.8723,231.6901,231.735,231.5795,231.5856,231.5125,232.0695,231.9791,231.7336,232.54,232.1911,231.7275,231.98
"Arizona",2011,235.158,0.001,0.00069,9.75137,-5.22e-08,-.1779851,.4896279,.1171814,.1067179,9.978344,.4297528,.050155,.4330694,.03128,.0508461,.0048965,.5071476,.0693711,.0223194,.4004155,.5951781,.0044064,235.1576,237.159,236.4294,235.2714,234.9525,235.0673,236.1525,237.18,235.9035,236.9702,237.1127,237.1001,236.3958,236.199,236.3438,236.7193,235.0696,235.18,235.6815,234.9017,235.9915,236.1208,236.1219,237.0021,237.1481,237.1102,235.8582,235.8728,235.8751,236.9489,236.9268,237.0655,236.1722,236.3036,236.3647,236.1561,236.5511,236.6864,235.0172,235.5607,235.6513,235.9793,236.0642,236.0926,236.0678,236.9893,236.9471,237.0876,235.8399,235.8435,235.8562,236.9126,236.1235,236.2283,236.3266,236.5373,235.547,236.0482,236.0245,236.0488,236.9393,235.8324,236.2098,236.0143
"Arizona",2013,240.305,0.001,0.00079,22.88256,-5.81e-08,-.0310585,.4884093,.0691612,.0968473,9.970627,.4135326,.0497272,.4454196,.0357962,.0488911,.0066333,.4817039,.0537056,.0342465,.4091902,.5864978,.004312,240.3049,242.2874,240.4136,239.4452,239.6556,240.2349,241.0006,241.5217,240.2771,241.6608,242.2607,242.0379,239.8629,239.8274,240.3704,240.5821,238.8687,239.3678,239.7624,239.6463,240.4091,240.9911,239.8712,240.992,241.5397,241.3241,239.8936,240.2746,240.1215,241.6751,241.4472,242.027,239.3195,239.8028,239.755,239.8234,240.067,240.5938,238.852,239.2836,239.7563,240.4407,239.5371,239.8927,239.7292,241.0222,240.8222,241.3521,239.9121,239.7648,240.1343,241.4701,239.3051,239.3172,239.7569,240.0949,239.3121,239.5633,239.4187,239.7621,240.8577,239.7923,239.3375,239.4509
"Arizona",2015,,,,,,,,.1,.12,,.38,.05,.47,.03,.05,.01,.56,.06,.01,,,,237.6118,239.5942,237.7204,236.752,236.9624,237.5418,238.3074,238.8286,237.5839,238.9677,239.5675,239.3447,237.1697,237.1342,237.6772,237.8889,236.1756,236.6747,237.0692,236.9532,237.7159,238.298,237.1781,238.2988,238.8465,238.6309,237.2004,237.5814,237.4283,238.9819,238.754,239.3338,236.6263,237.1096,237.0618,237.1302,237.3739,237.9007,236.1589,236.5905,237.0631,237.7476,236.844,237.1996,237.036,238.329,238.1291,238.659,237.2189,237.0716,237.4412,238.7769,236.6119,236.6241,237.0637,237.4017,236.6189,236.8701,236.7255,237.0689,238.1645,237.0991,236.6443,236.7578
"Arkansas",1992,210.206,0.000,0.00000,439.30658,-.1365411,-.2306319,.4693526,.005241,.0601807,10.06559,.6921235,.2110409,.0640334,.0070132,.0254338,.0003552,,,,.0723387,.838784,.0888773,210.206,210.0533,,209.639,210.3961,210.4955,209.8444,,210.3038,210.1778,210.2293,210.4133,,,,,209.8497,209.9308,209.7077,210.5879,209.9686,210.0805,,,,,210.3961,210.4731,210.6321,210.2889,210.4933,210.5608,,,,,,,210.0463,209.8363,209.9428,210.13,,,,,,,210.5058,210.6848,210.7737,210.5878,,,,,209.9991,,,,,210.778,,
"Arkansas",1996,217.158,0.001,0.00051,9.80345,5.19e-09,-.1764879,.4999942,0,.0294382,9.987826,.7035682,.1903374,.0583318,.0118783,.0346653,.001219,.3385251,.0878536,.0456738,.0785453,.8560408,.0654139,217.1576,216.4695,218.4109,216.2532,216.6521,217.4005,216.627,217.76,216.5356,215.8985,216.6049,216.7316,217.7388,217.911,218.5398,218.2449,215.8166,216.4951,216.2222,216.854,216.0776,216.817,217.7423,217.1357,217.8066,217.9454,215.9806,216.6673,216.7722,216.0181,216.1434,216.8427,217.2865,217.8591,217.873,218.0075,217.6855,218.3212,216.0211,215.7245,216.4122,216.2497,217.1404,217.7887,217.9173,217.1868,217.3107,217.9764,216.099,216.2024,216.8804,216.2478,217.3825,217.3567,217.9467,217.7553,215.8974,217.1922,217.306,217.9481,217.3527,216.3057,217.4265,217.3485
"Arkansas",2000,217.063,0.001,0.00061,10.16296,3.64e-10,-.2520724,.4948057,.012719,.0646582,10.03067,.6447358,.2308656,.0820412,.0096197,.0323807,.000357,.4123853,.0961107,.0131632,.1026104,.7790248,.1183648,217.0629,216.6193,219.1767,216.0669,217.4052,217.7486,216.5947,218.4541,216.7076,216.8772,217.1279,217.0576,218.3727,219.4062,219.5797,219.0795,216.445,216.7604,216.1613,217.8661,216.8586,217.2243,218.4211,218.5634,218.7637,218.7843,216.9455,217.2041,217.1065,217.2034,217.2627,217.5257,218.6412,218.7819,218.6357,219.6404,219.2158,219.4223,216.9206,216.4449,216.7886,217.2935,218.5303,218.7292,218.7338,218.7472,218.8537,219.0673,217.2688,217.2983,217.564,217.5654,218.8889,218.8028,218.9819,219.424,216.8833,218.7168,218.8065,219.015,219.0234,217.5982,219.0177,218.9781
